Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Pension Debt,Total Pay & Benefits
Senior Deputy Sheriff,145921.4,247983.61,22217.29,117460.63,416122.3,19074.37,552657.3
Director,452555.8,0.0,0.0,99252.29,452555.8,0.0,551808.09
Deputy Sheriff,132385.0,269637.31,22985.57,108709.88,425007.88,17371.08,551088.84
Chief Deputy Sheriff (Pers),263029.52,53395.62,23256.39,178924.09,339681.53,30335.69,548941.31
Undersheriff,297430.04,0.0,24985.96,191817.46,322416.0,33725.79,547959.25
Sheriff'S Lieutenant,188634.53,172172.54,20593.7,142861.85,381400.77,23580.91,547843.53
Sheriff'S Lieutenant,188634.57,179378.35,18343.26,138379.81,386356.18,22718.97,547454.96
"Chief, Fire Department",390873.02,0.0,48362.99,94067.26,439236.01,13933.91,547237.18
Sheriff,297875.5,0.0,17872.53,197660.11,315748.03,33735.05,547143.19
Director,447458.25,0.0,0.0,98986.68,447458.25,0.0,546444.93
Police Officer 3,149243.25,327800.6,18389.28,45162.9,495433.13,5313.84,545909.87
Manager Viii,446451.14,0.0,1830.59,96474.89,448281.73,0.0,544756.62
Sheriff'S Lieutenant,188634.52,167028.15,21206.56,142469.64,376869.23,23505.51,542844.38
Sergeant 3,175094.21,265758.32,40209.51,50004.61,481062.04,6005.94,537072.59
Sergeant 3,173555.4,265512.33,43157.85,48543.88,482225.58,5947.35,536716.81
"Administrator, Dph",442110.0,0.0,0.0,94520.58,442110.0,0.0,536630.58
Senior Deputy Sheriff,146794.0,209117.67,37297.2,123019.92,393208.87,20123.07,536351.86
"Captain, Fire Suppression",184143.54,248962.83,37483.77,55396.21,470590.14,7014.1,533000.45
Senior Physician Specialist,422258.48,0.0,19923.28,90404.74,442181.76,0.0,532586.5
Sheriff'S Lieutenant,188634.5,144097.73,31595.74,144172.32,364327.97,23832.89,532333.18
Sergeant 3,173817.52,262596.47,42015.42,47891.59,478429.41,5835.79,532156.79
"Battalion Chief, Fire Suppress",221089.52,191872.98,44416.48,66092.43,457378.98,8452.54,531923.95
Sup Psychiatric Physician Spec,433915.7,1556.54,3967.5,88373.63,439439.74,0.0,527813.37
Chief Of Police,397858.0,0.0,23955.24,92173.85,421813.24,13736.44,527723.53
Police Officer 3,156394.63,294231.58,23984.98,47119.29,474611.19,5566.79,527297.27
Sergeant 3,176328.88,264870.49,24425.84,51737.63,465625.21,6193.02,523555.86
Chief Deputy Sheriff (Pers),251871.55,46583.06,21782.45,172503.0,320237.06,29488.92,522228.98
"Battalion Chief, Fire Suppress",221089.44,190107.74,37053.98,64510.13,448251.16,8139.8,520901.09
Sheriff'S Sergeant,160671.52,199313.25,21123.96,120071.48,381108.73,19198.08,520378.29
Sup Psychiatric Physician Spec,428992.01,1033.13,2685.0,87666.19,432710.14,0.0,520376.33
"Captain, Fire Suppression",184143.57,249300.41,26070.45,53292.01,459514.43,6598.21,519404.65
Anesthetist,355845.16,56717.13,22164.86,84616.45,434727.15,0.0,519343.6
Executive Contract Employee,422443.0,0.0,0.0,96086.1,422443.0,0.0,518529.1
Police Officer 3,178493.51,240525.25,25196.74,67864.72,444215.5,6348.1,518428.32
Asst Chf Of Dept (Fire Dept),253095.11,158171.98,28626.85,68341.91,439893.94,8940.63,517176.48
Sergeant 3,173858.37,255868.46,34190.59,47195.2,463917.42,5715.52,516828.14
Anesthetist,340720.44,62880.25,29069.22,82835.77,432669.91,0.0,515505.68
Lieutenant 3,227255.67,174888.26,34812.77,69315.89,436956.7,8059.07,514331.66
Firefighter,138799.07,292560.29,31021.16,46188.5,462380.52,5194.22,513763.24
Sergeant 3,187825.29,223994.49,42450.37,52996.73,454270.15,6094.53,513361.41
Registered Nurse,344346.25,46343.75,62418.18,59827.65,453108.18,0.0,512935.83
Sergeant 3,176908.21,256612.49,24715.21,48330.38,458235.91,5939.88,512506.17
Lieutenant 3,199504.02,152449.73,98235.79,54712.58,450189.54,7090.16,511992.28
Assistant Chief Of Police,366356.51,0.0,39500.24,93009.1,405856.75,12961.48,511827.33
Registered Nurse,325739.85,78031.32,52539.84,54834.73,456311.01,0.0,511145.74
Public Safetycomm Supv,143353.0,325127.61,1040.0,41466.51,469520.61,0.0,510987.12
Registered Nurse,361518.67,23732.62,62763.2,62827.81,448014.49,0.0,510842.3
Sup Psychiatric Physician Spec,419256.56,0.0,3660.0,85601.45,422916.56,0.0,508518.01
Sergeant 3,174263.09,248801.81,29184.9,49759.42,452249.8,5975.71,507984.93
Chief Deputy Sheriff (Pers),257012.31,27653.27,21550.4,171378.88,306215.98,29421.68,507016.54
Deputy Sheriff,132385.0,223657.0,24275.47,108807.4,380317.47,17389.85,506514.72
Lieutenant 3,218414.35,195887.85,28306.28,55576.58,442608.48,6772.89,504957.95
Asst Chf Of Dept (Fire Dept),255478.83,143802.42,27167.4,68661.28,426448.65,8960.26,504070.19
"Lieutenant, Fire Suppression",161307.34,239601.23,45857.56,50235.84,446766.13,5994.17,502996.14
Sergeant 3,175024.87,235267.41,36654.63,49861.9,446946.91,5994.23,502803.04
Nurse Manager,210842.1,210328.37,21545.84,59709.34,442716.31,0.0,502425.65
Chief Deputy Sheriff (Pers),264146.02,8613.32,22156.81,175850.76,294916.15,30249.0,501015.91
Firefighter,138799.07,281224.99,28209.87,46192.76,448233.93,5195.06,499621.75
Dept Head V,405217.52,0.0,0.0,94324.65,405217.52,0.0,499542.17
Sup Psychiatric Physician Spec,413529.5,839.47,0.0,84730.9,414368.97,0.0,499099.87
Police Officer 3,149243.25,281953.73,17820.94,44681.69,449017.92,5218.73,498918.34
Chief Medical Examiner,409617.0,0.0,0.0,89136.41,409617.0,0.0,498753.41
Police Officer 3,149278.8,269904.56,27834.36,45128.73,447017.72,5307.09,497453.54
Police Officer 3,149425.16,278902.66,18123.7,44229.05,446451.52,5129.27,495809.84
Sr Psychiatric Physician Spec,385487.18,1883.97,23950.0,84328.88,411321.15,0.0,495650.03
Sergeant 3,176075.36,245473.41,17339.56,50245.23,438888.33,5918.03,495051.59
Sergeant 3,174534.7,232030.09,32981.81,49466.53,439546.6,5983.82,494996.95
Sergeant 3,182162.07,212837.21,37047.13,56300.58,432046.41,6371.51,494718.5
Deputy Chief 3,353841.33,0.0,38188.48,89289.22,392029.81,12519.86,493838.89
Coo - Retirement System,405320.35,0.0,0.0,88376.79,405320.35,0.0,493697.14
Registered Nurse,328217.02,28360.44,72472.42,63371.41,429049.88,0.0,492421.29
Asst Chf Of Dept (Fire Dept),253095.08,107508.29,49494.42,71797.7,410097.79,9623.66,491519.15
"Gen Mgr, Public Trnsp Dept",401804.0,0.0,0.0,89565.5,401804.0,0.0,491369.5
Assistant Chief Of Police,349098.0,0.0,39500.85,89713.67,388598.85,12373.4,490685.92
Deputy Chief 3,353841.32,0.0,38188.48,86018.56,392029.8,12519.86,490568.22
Deputy Chief 3,353841.32,0.0,38188.47,85813.87,392029.79,12519.86,490363.52
Sergeant 3,177611.04,223644.74,28839.82,53394.97,430095.6,6317.39,489807.96
Anesthetist,300731.06,71210.32,41230.92,76415.72,413172.3,0.0,489588.02
"Captain, Fire Suppression",184143.54,210415.09,33002.01,54881.0,427560.64,6912.27,489353.91
Asst Med Examiner,362371.05,226.88,46426.5,80060.04,409024.43,0.0,489084.47
Sergeant 3,178129.93,215186.37,37629.35,51850.46,430945.65,6089.41,488885.52
Sergeant 3,188525.23,196900.91,33423.63,63278.26,418849.77,6685.99,488814.02
Sergeant 3,175101.99,233643.73,22585.18,50565.06,431330.9,6122.78,488018.74
Sergeant 3,177555.47,221561.64,29739.03,52405.31,428856.14,6126.13,487387.58
Police Officer 3,149843.29,239300.11,48842.33,44238.33,437985.73,5131.1,487355.16
Sergeant 3,173411.45,227452.68,30855.34,48974.5,431719.47,6053.3,486747.27
Sr Psychiatric Physician Spec,397319.7,0.0,2560.0,86693.15,399879.7,0.0,486572.85
"Administrator, Dph",392958.55,0.0,0.0,92801.36,392958.55,0.0,485759.91
"Administrator, Dph",392958.53,0.0,0.0,92801.36,392958.53,0.0,485759.89
Physician Assistant,255591.02,32326.9,138887.76,57530.88,426805.68,0.0,484336.56
Registered Nurse,314825.5,32129.98,81688.4,55457.2,428643.88,0.0,484101.08
Sergeant 3,173596.35,229706.53,25099.83,49381.22,428402.71,6105.9,483889.83
Sr Psychiatric Physician Spec,390443.05,480.34,6667.5,85403.61,397590.89,0.0,482994.5
Sheriff'S Sergeant,160201.68,141179.85,30154.5,129530.27,331536.03,21028.32,482094.62
"Battalion Chief, Fire Suppress",218889.15,142920.12,45461.32,65690.52,407270.59,8418.41,481379.52
"Captain, Fire Suppression",220049.61,166743.55,29295.43,56335.64,416088.59,7917.44,480341.67
Sergeant 3,182221.78,206082.15,29789.46,55518.33,418093.39,6211.69,479823.41
Deputy Sheriff,132385.06,204028.28,19597.84,106525.58,356011.18,16951.02,479487.78
"Administrator, Dph",392958.5,0.0,0.0,86370.96,392958.5,0.0,479329.46
Sr Psychiatric Physician Spec,392392.55,0.0,1000.0,85561.79,393392.55,0.0,478954.34
Sergeant 3,173336.2,222915.28,26510.81,49427.44,422762.29,6156.72,478346.45
Registered Nurse,307054.93,63874.79,53684.73,53643.43,424614.45,0.0,478257.88
"Battalion Chief, Fire Suppress",221089.51,155383.06,30293.21,63437.14,406765.78,7927.73,478130.65
Sergeant 3,175905.48,225061.32,20841.53,50230.41,421808.33,5938.54,477977.28
Asst Med Examiner,373987.06,0.0,21000.0,82462.07,394987.06,0.0,477449.13
Police Officer 3,148515.75,258766.13,18719.96,44955.37,426001.84,5290.19,476247.4
Registered Nurse,324846.33,30380.93,60021.98,60439.6,415249.24,0.0,475688.84
Police Officer 3,149243.29,246189.35,29408.85,45162.9,424841.49,5313.84,475318.23
"Captain, Fire Suppression",184143.54,183152.01,43863.11,56632.17,411158.66,7258.38,475049.21
Sr Psychiatric Physician Spec,387361.0,0.0,2560.0,85110.14,389921.0,0.0,475031.14
Sheriff'S Captain,218478.03,39419.43,38155.19,153271.31,296052.65,25582.76,474906.72
Sergeant 3,181170.34,210919.44,20631.15,55582.97,412720.93,6214.92,474518.82
Sheriff'S Sergeant,160671.5,154289.67,21312.71,118735.13,336273.88,18941.08,473950.09
Police Officer 3,150788.91,256995.69,15377.05,44681.69,423161.65,5218.73,473062.07
Sr Psychiatric Physician Spec,387262.56,0.0,1000.0,84652.75,388262.56,0.0,472915.31
Sr Psychiatric Physician Spec,387262.56,0.0,1000.0,84652.75,388262.56,0.0,472915.31
Sheriff'S Captain,233798.5,25953.83,22969.54,162639.21,282721.87,27384.38,472745.46
Physician Specialist,387263.55,2818.76,7738.65,74705.61,397820.96,0.0,472526.57
Sergeant 3,179169.27,199553.4,33652.61,53766.48,412375.28,6148.54,472290.3
"Battalion Chief, Fire Suppress",221089.49,150341.74,28827.0,63674.97,400258.23,7974.73,471907.93
Sheriff'S Captain,210907.17,64207.02,22577.89,148586.6,297692.08,24681.97,470960.65
Asst Chf Of Dept (Fire Dept),255478.82,73226.99,63068.04,69950.89,391773.85,9215.15,470939.89
Police Officer 3,166248.19,222400.09,20463.11,55429.62,409111.39,5859.83,470400.84
Sergeant 3,197621.69,172383.86,22721.27,70781.72,392726.82,6886.43,470394.97
Nurse Manager,227333.72,129609.8,50025.7,63407.29,406969.22,0.0,470376.51
Sergeant 3,175450.48,203515.93,33703.5,50612.01,412669.91,6231.93,469513.85
Lieutenant 3,222127.67,153493.46,30890.54,56097.06,406511.67,6849.71,469458.44
Police Officer 3,149477.16,260683.47,10034.94,43981.07,420195.57,5080.26,469256.9
"Battalion Chief, Fire Suppress",221089.47,133346.73,41039.86,65441.61,395476.06,8323.9,469241.57
Sr Psychiatric Physician Spec,373090.53,528.79,13172.5,82302.04,386791.82,0.0,469093.86
Deputy Sheriff,131997.85,193002.65,18840.68,107876.39,343841.18,17220.99,468938.56
Sr Psychiatric Physician Spec,373090.5,0.0,13150.0,82302.04,386240.5,0.0,468542.54
Dept Head V,381049.51,0.0,0.0,87034.57,381049.51,0.0,468084.08
"Lieutenant, Fire Suppression",161307.34,218562.4,30630.42,50803.89,410500.16,6106.44,467410.49
Dep Chf Of Dept (Fire Dept),331123.5,0.0,38203.41,84660.78,369326.91,12074.74,466062.43
Registered Nurse,351259.03,20782.5,34128.55,58665.41,406170.08,0.0,464835.49
Police Officer 3,150189.03,254946.12,11141.63,43381.37,416276.78,4961.73,464619.88
Sergeant 3,180506.69,166268.89,57679.32,53874.9,404454.9,6233.36,464563.16
Deputy Sheriff,132397.6,176906.07,25943.52,111191.4,335247.19,17848.23,464286.82
Police Officer 3,149278.75,245376.42,19019.02,45128.73,413674.19,5307.09,464110.01
Police Officer 3,150165.99,246175.37,18216.58,44200.39,414557.94,5123.6,463881.93
Sergeant 3,173409.22,189069.52,46816.73,48417.94,409295.47,5943.3,463656.71
Police Officer 2,146461.93,245430.8,22168.45,43682.45,414061.18,5021.23,462764.86
"Battalion Chief, Fire Suppress",219035.25,175153.33,20528.81,40118.12,414717.39,7610.84,462446.35
Dept Head V,378582.55,0.0,0.0,83848.78,378582.55,0.0,462431.33
Sr Psychiatric Physician Spec,378547.45,0.0,1000.0,82868.24,379547.45,0.0,462415.69
Incident Support Specialist,149767.88,233160.47,31559.2,47901.91,414487.55,0.0,462389.46
Sr Psychiatric Physician Spec,375621.01,0.0,2560.0,82980.02,378181.01,0.0,461161.03
Deputy Sheriff,132385.0,181710.06,21443.5,108107.84,335538.56,17255.3,460901.7
Nurse Manager,218345.4,159817.78,24407.94,57904.34,402571.12,0.0,460475.46
Deputy Sheriff,132385.01,174053.75,26595.58,109697.26,333034.34,17560.98,460292.58
Registered Nurse,217533.16,40313.89,152763.35,49663.47,410610.4,0.0,460273.87
Lieutenant 3,207195.77,164389.41,23625.62,57744.06,395210.8,7258.6,460213.46
Lieutenant 3,206070.39,83817.91,105802.67,56796.06,395690.97,7050.39,459537.42
Sergeant 3,177906.54,186704.75,37478.33,51314.08,402089.62,6053.73,459457.43
Registered Nurse,299018.04,40777.16,58091.11,61560.95,397886.31,0.0,459447.26
"Lieutenant, Fire Suppression",162045.54,216933.58,24830.9,49490.64,403810.02,5884.0,459184.66
Controller,374631.0,0.0,0.0,84501.25,374631.0,0.0,459132.25
Sergeant 3,180502.24,182393.33,33086.71,56254.76,395982.28,6448.43,458685.47
Sergeant 3,176765.79,136393.86,88915.28,50198.91,402074.93,6100.78,458374.62
Sheriff'S Lieutenant,187531.25,70910.29,29613.02,145710.01,288054.56,24151.19,457915.76
Sergeant 3,177988.09,197290.36,23296.69,53101.5,398575.14,6202.94,457879.58
Deputy Sheriff,128566.45,180419.66,22917.47,107333.45,331903.58,17209.51,456446.54
Registered Nurse,293053.02,58382.87,52610.22,52287.13,404046.11,0.0,456333.24
Sr Psychiatric Physician Spec,375023.63,0.0,0.0,80998.69,375023.63,0.0,456022.32
Lieutenant 3,220949.95,73242.46,89407.15,64749.44,383599.56,7673.21,456022.21
Deputy Sheriff,132397.6,180335.72,20674.91,105595.3,333408.23,16772.06,455775.59
Police Officer 3,149243.26,229348.06,26173.1,45510.57,404764.42,5382.56,455657.55
"Battalion Chief, Fire Suppress",219026.58,123932.33,39621.57,64740.16,382580.48,8228.76,455549.4
Commander 3,329322.67,0.0,33053.91,81757.41,362376.58,11397.09,455531.08
Anesthetist,319386.31,46515.98,14253.23,75066.98,380155.52,0.0,455222.5
Inspector 3,196139.73,139975.53,49098.24,62613.15,385213.5,6678.71,454505.36
Registered Nurse,296158.27,46173.1,50321.54,61563.95,392652.91,0.0,454216.86
Captain 3,256919.49,30162.95,91052.68,67738.07,378135.12,8136.25,454009.44
Sheriff'S Sergeant,160671.51,119627.05,25365.0,127605.61,305663.56,20646.97,453916.14
Deputy Sheriff,105454.34,223274.23,22903.19,88042.84,351631.76,14123.85,453798.45
Sheriff'S Sergeant,160671.52,133394.07,16056.76,123607.73,310122.35,19878.12,453608.2
Nurse Manager,234780.13,133753.14,24530.8,60378.69,393064.07,0.0,453442.76
Nurse Manager,248154.0,87159.16,50776.24,66747.59,386089.4,0.0,452836.99
Deputy Chief 3,320903.91,0.0,34908.87,85253.01,355812.78,11292.6,452358.39
Sr Psychiatric Physician Spec,387262.5,0.0,1000.0,63969.83,388262.5,0.0,452232.33
Sr Psychiatric Physician Spec,365573.32,2438.9,23650.0,60385.23,391662.22,0.0,452047.45
Sr Psychiatric Physician Spec,359412.5,0.0,12205.0,80033.3,371617.5,0.0,451650.8
Anesthetist,283661.4,69878.95,28668.23,69308.31,382208.58,0.0,451516.89
Nurse Practitioner,253832.13,0.0,130650.05,66948.61,384482.18,0.0,451430.79
Sergeant 3,176545.3,189858.92,27083.42,51776.5,393487.64,6152.94,451417.08
Sergeant 3,182491.54,143194.5,61039.11,57819.6,386725.15,6474.62,451019.37
Supervising Physician Spec,366959.94,2356.6,4563.75,77045.25,373880.29,0.0,450925.54
Nursing Supervisor,265290.01,13282.74,102322.41,69870.86,380895.16,0.0,450766.02
Sr Psychiatric Physician Spec,359412.55,0.0,11252.5,80033.3,370665.05,0.0,450698.35
"Captain, Fire Suppression",181558.17,163182.43,43409.11,55336.98,388149.71,7016.31,450503.0
Sr Psychiatric Physician Spec,369953.19,0.0,0.0,80159.9,369953.19,0.0,450113.09
Chief Adult Probation Officer,276674.51,0.0,0.0,173260.11,276674.51,0.0,449934.62
Sheriff'S Captain,218478.02,26489.93,26224.58,153167.64,271192.53,25562.83,449923.0
Sergeant 3,173694.59,175525.48,46598.39,48038.56,395818.46,5826.63,449683.65
"Captain, Fire Suppression",184143.51,169554.15,34261.12,54681.27,387958.78,6872.79,449512.84
Sergeant 3,173315.61,200277.28,21627.39,48330.36,395220.28,5939.88,449490.52
Sergeant 3,179631.58,182036.28,26241.96,55190.26,387909.82,6374.37,449474.45
Sr Psychiatric Physician Spec,360402.5,0.0,8770.0,80183.8,369172.5,0.0,449356.3
Sergeant 3,173315.67,194244.31,25925.25,49447.26,393485.23,6160.63,449093.12
"Battalion Chief, Fire Suppress",218975.11,101543.08,53554.25,65615.8,374072.44,8401.83,448090.07
Deputy Chief 3,315831.4,0.0,36900.26,83315.69,352731.66,10909.69,446957.04
Lieutenant 3,197916.04,106020.91,83515.33,52571.02,387452.28,6778.03,446801.33
"Lieutenant, Fire Suppression",170875.58,183356.82,31435.22,54266.45,385667.62,6790.8,446724.87
"Manager, Dept Public Health",364715.5,0.0,0.0,81681.59,364715.5,0.0,446397.09
Sergeant 3,175247.96,180685.32,34047.31,50353.19,389980.59,6053.99,446387.77
Police Officer 3,149243.28,235082.33,13257.26,43733.29,397582.87,5031.28,446347.44
Mayor,364582.0,0.0,0.0,81624.72,364582.0,0.0,446206.72
Firefighter,138798.98,212855.95,40555.31,48361.09,392210.24,5623.63,446194.96
Registered Nurse,318345.19,30133.62,44477.77,53165.61,392956.58,0.0,446122.19
Sheriff'S Sergeant,160671.52,111702.61,24673.35,127753.0,297047.48,20675.32,445475.8
Deputy Sheriff,132385.0,162218.56,24634.81,108788.47,319238.37,17386.17,445413.01
Captain 3,227741.14,124263.68,24855.04,60592.46,376859.86,7609.24,445061.56
Sergeant 3,180227.16,165398.21,37454.68,55498.04,383080.05,6345.75,444923.84
"Lieutenant, Fire Suppression",159764.61,201709.03,27388.27,49619.46,388861.91,5909.46,444390.83
Firefighter,137503.96,227814.67,28478.25,45415.15,393796.88,5078.49,444290.52
Registered Nurse,173491.4,202788.11,15426.6,52551.2,391706.11,0.0,444257.31
Registered Nurse,294632.37,39098.87,52938.56,57067.37,386669.8,0.0,443737.17
Sheriff'S Lieutenant,188634.52,70381.33,34807.68,125102.4,293823.53,24058.51,442984.44
Sheriff'S Lieutenant,188634.55,75309.85,20345.9,135927.19,284290.3,22247.31,442464.8
Sheriff'S Sergeant,160671.52,110688.18,30785.04,120738.75,302144.74,19326.42,442209.91
Firefighter,139080.74,210596.71,39645.56,46860.56,389323.01,5327.05,441510.62
Sheriff'S Captain,218478.04,15943.85,27524.53,153814.65,261946.42,25687.26,441448.33
Sheriff'S Sergeant,153489.7,97364.13,55151.58,116713.52,306005.41,18724.49,441443.42
"Battalion Chief, Fire Suppress",219026.57,114339.51,35971.69,63934.19,369337.77,8069.46,441341.42
Police Officer 3,149243.27,230031.09,12365.34,44200.39,391639.7,5123.6,440963.69
Public Safetycomm Supv,141978.91,250243.78,6386.25,41966.6,398608.94,0.0,440575.54
Registered Nurse,303429.83,47556.0,32622.46,56862.16,383608.29,0.0,440470.45
Registered Nurse,310562.56,20152.72,50779.61,58936.05,381494.89,0.0,440430.94
Sheriff'S Lieutenant,188450.68,67943.61,23307.34,137808.45,279701.63,22612.83,440122.91
"Battalion Chief, Fire Suppress",221089.45,109449.66,36401.99,64669.88,366941.1,8171.37,439782.35
Sergeant 3,176499.5,179839.53,25667.51,51240.04,382006.54,6047.78,439294.36
Sr Psychiatric Physician Spec,350642.14,0.0,10525.0,78068.93,361167.14,0.0,439236.07
Port Director,359190.09,0.0,0.0,79921.2,359190.09,0.0,439111.29
Sheriff'S Lieutenant,188634.56,47258.79,32780.96,146060.48,268674.31,24196.04,438930.83
"Captain, Fire Suppression",184143.52,157456.29,34109.65,55027.29,375709.46,6941.18,437677.93
Police Officer 3,149243.26,220542.77,18366.4,44200.38,388152.43,5123.6,437476.41
Deputy Sheriff,132385.02,154820.47,23999.23,108098.7,311204.72,17253.53,436556.95
Sergeant 3,175107.83,168715.36,36741.8,49981.13,380564.99,6002.16,436548.28
Registered Nurse,318068.36,27361.49,32089.51,58609.36,377519.36,0.0,436128.72
"Lieutenant, Fire Suppression",161244.61,188357.18,30638.99,49827.92,380240.78,5915.09,435983.79
Sergeant 3,174564.92,165285.01,39796.82,49819.91,379646.75,6175.23,435641.89
Police Officer 3,151623.8,219701.12,13041.99,46098.5,384366.91,5151.41,435616.82
Sergeant 3,178592.13,180526.08,17806.27,52662.17,376924.48,6016.24,435602.89
Senior Physician Specialist,354114.52,0.0,2171.33,79177.2,356285.85,0.0,435463.05
Police Officer 3,147788.25,224948.83,14379.94,43330.35,387117.02,4986.38,435433.75
Police Officer 3,149243.25,227259.89,9968.22,43733.29,386471.36,5031.28,435235.93
Lieutenant 3,199722.51,69241.12,104285.35,54801.92,373248.98,7093.92,435144.82
"Battalion Chief, Fire Suppress",221089.53,93802.39,45477.2,66147.15,360369.12,8463.35,434979.62
"Battalion Chief, Fire Suppress",221089.52,101133.36,39235.24,65218.31,361458.12,8279.77,434956.2
Sergeant 3,175219.76,171993.73,29470.08,51453.08,376683.57,6280.93,434417.58
"Captain, Fire Suppression",184143.54,150631.69,37786.85,54397.86,372562.08,6816.78,433776.72
"Captain, Fire Suppression",196610.25,127595.27,43247.29,58242.46,367452.81,7589.77,433285.04
Sergeant 3,170364.43,179276.19,29371.5,48373.93,379012.12,5849.5,433235.55
"Captain, Fire Suppression",181585.9,127288.38,61799.9,55413.18,370674.18,7017.45,433104.81
Emt/Paramedic/Firefighter,161318.89,175558.65,38080.34,51831.59,374957.88,6309.56,433099.03
District Attorney,337989.5,0.0,0.0,83711.08,337989.5,11073.5,432774.08
Anesthetist,320198.24,21565.1,15478.07,75408.03,357241.41,0.0,432649.44
Supervising Physician Spec,334806.5,3419.59,22665.0,71673.19,360891.09,0.0,432564.28
Deputy Sheriff,132372.4,160898.52,15979.9,106073.64,309250.82,16864.17,432188.63
Police Officer 3,149675.16,220105.6,12931.55,44052.89,382712.31,5094.45,431859.65
Registered Nurse,268743.13,57893.52,52270.41,52463.72,378907.06,0.0,431370.78
Supervising Physician Spec,353357.02,1481.76,1515.0,74708.46,356353.78,0.0,431062.24
Sr Psychiatric Physician Spec,351309.01,0.0,1000.0,78686.42,352309.01,0.0,430995.43
Police Officer 3,149698.92,218492.83,13469.68,44200.38,381661.43,5123.6,430985.41
Supervising Physician Spec,345136.53,6607.99,5655.0,73386.58,357399.52,0.0,430786.1
Nursing Supervisor,296086.02,0.0,59217.2,75470.15,355303.22,0.0,430773.37
Sergeant 3,173315.56,169865.62,33249.37,48330.36,376430.55,5939.88,430700.79
